time, L
0.1658,1.524
0.166,1.4934
0.1662,1.5087
0.1664,1.4934
0.1666,1.4781
0.1668,1.4934
0.167,1.4781
0.1672,1.4781
0.1674,1.4934
0.1676,1.4934
0.1678,1.5392
0.168,1.4781
0.1682,1.524
0.1684,1.5087
0.1686,1.4781
0.1688,1.4934
0.169,1.4475
0.1692,1.5392
0.1694,1.4781
0.1696,1.4934
0.1698,1.524
0.17,1.5087
0.1702,1.5087
0.1704,1.4628
0.1706,1.5087
0.1708,1.4628
0.171,1.5087
0.1712,1.4934
0.1714,1.4781
0.1716,1.4934
0.1718,1.4475
0.172,1.524
0.1722,1.4322
0.1724,1.5545
0.1726,1.5087
0.1728,1.524
0.173,1.4781
0.1732,1.4934
0.1734,1.4934
0.1736,1.4934
0.1738,1.4628
0.174,1.4934
0.1742,1.524
0.1744,1.5087
0.1746,1.4628
0.1748,1.5392
0.175,1.4628
0.1752,1.4475
0.1754,1.4781
0.1756,1.4781
0.1758,1.4934
0.176,1.524
0.1762,1.4934
0.1764,1.5392
0.1766,1.5087
0.1768,1.4781
0.177,1.4934
0.1772,1.5087
0.1774,1.4934
0.1776,1.4781
0.1778,1.5087
0.178,1.5087
0.1782,1.524
0.1784,1.4628
0.1786,1.4628
0.1788,1.4322
0.179,1.4322
0.1792,1.5392
0.1794,1.4934
0.1796,1.4934
0.1798,1.524
0.18,1.4781
0.1802,1.5392
0.1804,1.4934
0.1806,0.85618
0.1808,0.082
0.181,0.2649
0.1812,0.886
0.1814,1.3252
0.1816,1.4628
0.1818,1.4781
0.182,1.524
0.1822,1.5545
0.1824,1.5087
0.1826,1.4781
0.1828,1.4781
0.183,1.5545
0.1832,1.4781
0.1834,1.5087
0.1836,1.5545
0.1838,1.4781
0.184,1.5087
0.1842,1.5087
0.1844,1.524
0.1846,1.524
0.1848,1.5087
0.185,1.5392
0.1852,1.524
0.1854,1.4934
0.1856,1.5087
0.1858,1.4628
0.186,1.5087
0.1862,1.4934
0.1864,1.4934
0.1866,1.5087
0.1868,1.4934
0.187,1.524
0.1872,1.5087
0.1874,1.5392
0.1876,1.524
0.1878,1.4934
0.188,1.4781
0.1882,1.4934
0.1884,1.524
0.1886,1.5087
0.1888,1.4934
0.189,0.24959
0.1892,0.11179
0.1894,0.54048
0.1896,1.264
0.1898,1.4628
0.19,1.5545
0.1902,1.5392
0.1904,1.524
0.1906,1.5698
0.1908,1.5545
0.191,1.5545
0.1912,1.631
0.1914,1.5698
0.1916,1.5698
0.1918,1.5392
0.192,1.5545
0.1922,1.5698
0.1924,1.5698
0.1926,1.6004
0.1928,1.5698
0.193,1.6004
0.1932,1.5698
0.1934,1.5698
0.1936,1.5392
0.1938,1.6004
0.194,1.5545
0.1942,1.5545
0.1944,1.5392
0.1946,1.5545
0.1948,1.5545
0.195,1.5545
0.1952,1.524
0.1954,1.524
0.1956,1.5392
0.1958,1.5545
0.196,1.4781
0.1962,1.5851
0.1964,1.5545
0.1966,1.5392
0.1968,1.5545
0.197,1.5392
0.1972,1.5545
0.1974,1.524
0.1976,1.524
0.1978,1.5851
0.198,1.5087
0.1982,1.5392
0.1984,1.5392
0.1986,1.5545
0.1988,1.5545
0.199,1.5545
0.1992,1.5392
0.1994,1.5392
0.1996,1.6004
0.1998,1.5392
0.2,1.5851
0.2002,1.5545
0.2004,1.6004
0.2006,1.4934
0.2008,1.5392
0.201,1.5698
0.2012,1.5392
0.2014,1.6004
0.2016,1.6004
0.2018,1.5392
0.202,1.5698
0.2022,1.5545
0.2024,1.5392
0.2026,0.11179
0.2028,0.14241
0.203,0.67727
0.2032,1.264
0.2034,1.4475
0.2036,1.5087
0.2038,1.524
0.204,1.5087
0.2042,1.524
0.2044,1.5392
0.2046,1.524
0.2048,1.524
0.205,1.5392
0.2052,1.5851
0.2054,1.5392
0.2056,1.5392
0.2058,1.524
0.206,1.524
0.2062,1.524
0.2064,1.4628
0.2066,1.5392
0.2068,1.5545
0.207,1.524
0.2072,1.5851
0.2074,1.524
0.2076,1.5087
0.2078,1.5392
0.208,1.5545
0.2082,1.5087
0.2084,1.5545
0.2086,1.5392
0.2088,1.5545
0.209,1.5392
0.2092,1.524
0.2094,1.5087
0.2096,1.5392
0.2098,1.4934
0.21,1.5087
0.2102,1.4934
0.2104,1.524
0.2106,1.5545
0.2108,1.0806
0.211,0.082
0.2112,0.2649
0.2114,0.94564
0.2116,1.4169
0.2118,1.4934
0.212,1.524
0.2122,1.5545
0.2124,1.5851
0.2126,1.5392
0.2128,1.5392
0.213,1.5545
0.2132,1.6004
0.2134,1.5545
0.2136,1.5698
0.2138,1.5545
0.214,1.631
0.2142,1.5698
0.2144,1.6157
0.2146,1.524
0.2148,1.5545
0.215,1.5851
0.2152,1.5698
0.2154,1.5851
0.2156,1.5851
0.2158,1.524
0.216,1.5392
0.2162,1.5392
0.2164,1.5851
0.2166,1.5698
0.2168,1.6004
0.217,1.5698
0.2172,1.6004
0.2174,1.4934
0.2176,1.5392
0.2178,1.5698
0.218,1.5392
0.2182,1.5698
0.2184,1.5698
0.2186,1.5545
0.2188,1.6004
0.219,1.6157
0.2192,0.418
0.2194,0.082
0.2196,0.46393
0.2198,1.1264
0.22,1.4016
0.2202,1.5545
0.2204,1.5851
0.2206,1.5851
0.2208,1.5545
0.221,1.524
0.2212,1.5851
0.2214,1.5087
0.2216,1.5392
0.2218,1.5545
0.222,1.5545
0.2222,1.5392
0.2224,1.5698
0.2226,1.5392
0.2228,1.5545
0.223,1.5698
0.2232,1.631
0.2234,1.5545
0.2236,1.5545
0.2238,1.6004
0.224,1.5545
0.2242,1.5392
0.2244,1.5851
0.2246,1.524
0.2248,1.524
0.225,1.5851
